ozone,ozoneP,pm,pmP,diesel,dieselP,pest,pestP,traffic,trafficP,drink,drinkP,lead,leadP,haz,hazP,iwb,iwbP,swis,swisP,Pollution,PollutionScore,PollutionP,asthma,asthmaP,lbw,lbwP,cvd,cvdP,edu,eduP,pov,povP,unemp,unempP,housingB,housingBP
0.05116215,64.72930927,6.794779524,6.036092097,0.086420633,32.25886745,2016.169575,92.79310345,709.3046323,36.8625,520.0662222,62.35793681,59.84097962,65.53245117,0.025,3.639973527,5,51.21797564,0,0,37.72380842,4.606069515,36.4903547,83.49,87.16350947,2.12,2.386451116,25.68,98.01844467,10.2,42.66008605,51.8,83.86934673,5.8,55.0234253,23.7,76.34980989
0.04910169,58.34474175,8.389224832,20.0497822,0.014339201,5.301804605,197.7874662,80.51724138,455.5088846,17.7,369.1295529,38.3539403,28.12449259,21.65091367,0,0,4,43.78412432,0,0,25.15560919,3.071494886,8.898568762,37.11,36.62761715,1.7,1.090582499,14.86,65.39132602,15.9,57.51708428,40.1,69.34673367,8.4,77.7589797,14.8,37.47782003
0.04987653,60.95830741,7.281784545,8.251400124,0.075903673,28.46297449,2163.540138,93.31034483,581.8964392,26.9625,367.9393837,38.24153865,39.13113296,35.81600504,0.345,55.42025149,6,58.69382612,0,0,35.5251408,4.337612635,30.44181705,76.53,83.12562313,4.82,47.39543238,18.14,81.20638086,25.9,74.80384713,38.7,67.17336683,6.9,66.60593441,15.6,41.86311787
0.05022962,62.5264468,6.298421979,4.268823895,0.136104545,47.49222153,14.94771582,63.10344828,505.425398,21.25,384.5891394,40.45210441,57.51518352,62.24322621,0.4,61.57511582,5,51.21797564,5.1,75.94501718,42.45674421,5.183960035,49.93154947,83.49,87.16350947,3.9,24.31357454,25.68,98.01844467,8.8,37.28170084,64,94.33417085,16.7,98.112962,17,49.02408112
0.0482775,55.38270068,7.24487103,8.064716864,0.026439044,9.296826385,1112.389012,89.68965517,242.0206913,5.6375,520.042056,62.34544773,49.43395682,50.86326402,0,0,5,51.21797564,2,52.89805269,34.86747148,4.257311342,28.6869944,48.08,53.63908275,4.41,36.14318707,14.49,63.39730808,17.8,61.09845609,46.3,77.81407035,5.6,52.5247267,11.2,19.39163498
0.04740619,50.57871811,4.737056919,0.858742999,0.001160605,0.398257623,10.18902287,60.44827586,25.57808372,0.0625,536.2365003,63.6568003,36.90314246,33.08128544,0.1,16.63798809,5,51.21797564,9.25,89.27835052,34.71693268,4.238930585,28.33851898,59.28,68.36989033,5.6,66.83346164,18.32,81.9666002,21.9,68.03340926,42.5,72.73869347,4.1,32.27485685,14.8,37.47782003
0.04955695,59.93777225,6.308366522,4.331051649,0.006855382,2.78780336,119.635973,78.24137931,73.71683377,0.625,404.2915763,43.83664294,48.57610321,49.56521739,0.21,37.68365321,7,66.73666527,8.45,87.30813288,35.14449846,4.291136281,29.47106409,49.8,56.26869392,4.61,41.46779574,16.03,71.66001994,10.7,44.34320425,41.3,71.09296482,11.5,91.12441437,10.7,16.92015209
0.04706421,48.59987554,7.216373246,7.815805849,0.033515919,11.96017424,1091.803316,89.65517241,92.48796693,0.925,260.7429487,15.17422256,41.89341491,39.72274732,0.11,19.24553276,5,51.21797564,0,0,29.97277738,3.659670164,17.56067206,67.11,76.34596211,4.48,38.18321786,20.89,90.22931206,18.6,62.38926854,40.4,69.72361809,11.3,90.59083811,11.6,21.07731305
0.0499555,61.03298071,7.342260325,8.612321095,0.013452592,4.978220286,114.8865297,78,381.1713831,12.8875,391.5708567,42.47533408,18.09350731,10.33396345,0.1,16.63798809,3,33.15833683,11,92.80641466,32.55940625,3.975497036,23.01182327,64.34,73.61665005,2.95,8.686168848,20.45,88.74626122,6.2,26.94254619,29.4,52.87688442,2.4,9.721499219,15.4,40.89987326
0.0478999,52.05973864,7.270869203,8.189172371,0.089522196,33.51586808,225.6836308,81.20689655,493.7282465,20.425,251.0826249,11.76470588,66.68802276,74.93383743,0.4,61.57511582,3,33.15833683,2,52.89805269,43.68330896,5.333723347,53.24206596,69.27,77.91625125,3.93,24.99358481,21.56,92.44765703,22.9,69.77980258,46.4,77.98994975,9.7,84.98178032,15.8,42.82636248
0.0394206,17.67268202,7.052987702,6.994399502,0.002606776,1.008089608,0,0,,,,,,,0,0,0,0,0,0,4.581979139,0.559458743,0.012445551,31.62,27.87886341,,,8.59,17.89631107,,,,,,,,
0.03975537,20.84629745,8.035979179,13.82700685,0.05606713,20.41070317,0.028230232,17.55172414,891.3858401,50.875,,,,,0.205,35.97617472,10,82.96934061,0.5,22.08476518,31.9997796,3.907166733,21.99128811,30.54,25.9222333,,,11.38,41.16400798,,,,,,,,
0.04192559,26.69570629,8.304837389,18.282514,0.105084536,38.86745488,22.4093337,66.93103448,952.6432866,55.225,427.927304,49.33183464,39.31728366,36.1436673,1.72,91.66115156,6,58.69382612,3.5,66.68957617,43.79478486,5.347334532,53.47853143,30.34,25.49850449,5.18,57.09520144,6.49,5.396311067,25.4,73.99392559,31.7,56.57035176,4.9,43.0895367,13,28.2382763
0.03975537,20.84629745,7.571171991,10.10578718,0.085598558,31.88550093,0,0,287.4850602,7.625,327.1017862,30.94792057,35.6753202,31.3673598,0.57,73.31568498,2,23.87652247,0,0,22.24242548,2.715795734,5.015556938,30.54,25.9222333,2.68,5.812163202,11.38,41.16400798,,,27.7,50.01256281,,,17.5,51.77439797
0.03272688,6.397013068,7.287689634,8.326073429,0.004535144,1.941505912,34.16751859,69.89655172,623.0353406,30,616.9053189,69.5141751,41.63443379,39.50850662,9.3,99.27200529,5,51.21797564,7,83.27605956,47.22098908,5.765673388,62.82514001,28.12,22.03389831,2.81,7.05671029,11.07,38.48454636,2.3,7.403189066,25.2,44.87437186,7,67.47787611,25.7,81.9391635
0.03165382,3.858120722,6.903343306,6.546359676,0.010811724,4.156813939,138.0519816,79.20689655,387.3416648,13.375,605.9010043,68.85225428,42.83824095,41.04599874,4.73,97.59099934,10,82.96934061,5,75.67010309,41.81912359,5.106106684,48.06471686,46.39,51.08424726,3.09,10.18732358,14.91,65.79012961,16.3,58.27638573,26,46.39447236,5.8,55.0234253,11.9,22.6869455
0.03975537,20.84629745,7.73618336,11.21344119,0.03609061,12.95581829,38.84258847,70.65517241,982.658813,56.775,474.4657378,57.51217685,39.93013524,37.08884688,0.775,80.80741231,11,86.95926081,3.45,65.24627721,45.38567643,5.541582077,57.68512757,23.01,13.18544367,2.27,3.194765204,6.29,4.536390828,1,1.771703366,15.3,22.71356784,1.3,2.290473712,17.5,51.77439797
0.0394206,17.67268202,6.761949961,5.924082141,0.012399395,4.604853765,2.97991093,50.37931034,1026.307329,59.6375,433.7174656,50.65567628,35.97010565,31.821046,1.3,88.90800794,4,43.78412432,8,86.50630011,45.49240517,5.554613635,57.93403858,29.99,24.91276171,2.44,3.964588145,11.14,38.95812562,14.7,54.61908378,20.6,35.56532663,1.9,5.570015617,9.6,12.34474018
0.03975537,20.84629745,7.74415352,11.2881145,0.166107713,55.23335408,0,0,623.6724769,30.0625,346.8179596,35.60634445,29.56038291,23.45305608,1.275,88.64328259,5,51.21797564,0,0,33.96027652,4.146543018,26.49657747,30.54,25.9222333,4.2,31.33179369,11.38,41.16400798,10.1,42.29309036,26,46.39447236,3.6,25.23425299,17.7,52.61089987
0.03975537,20.84629745,7.917647405,12.57000622,0.092604887,34.63596764,0,0,439.1611877,16.65,327.1017862,30.94792057,35.96743908,31.79584121,0.5,69.39774983,2,23.87652247,0,0,21.26644521,2.596628737,4.082140635,30.54,25.9222333,7.25,92.10931486,11.38,41.16400798,8.8,37.28170084,78.5,99.24623116,13.9,95.60124935,55.9,99.87325729
0.03975537,20.84629745,7.879938261,12.34598631,0.180776724,58.39452396,0,0,507.5832218,21.4375,327.1017862,30.94792057,24.46544817,17.22747322,0.125,21.95896757,2,23.87652247,0,0,18.22173264,2.224869936,1.829495955,20.01,9.346959123,5.45,63.31793687,8.8,19.51645065,13.1,50.97443685,88.1,99.92462312,10.8,89.18532015,68.4,99.98732573
0.03975537,20.84629745,7.879938261,12.34598631,0.14219569,49.18481643,0,0,492.708737,20.35,327.1017862,30.94792057,21.61086735,14.00126024,0.01,1.800132363,2,23.87652247,0,0,16.20163944,1.978216958,0.970752956,24.54,15.55333998,,,9.91,29.23728814,22.2,68.55226525,87.7,99.89949749,9.5,83.97969807,66.3,99.94930292
0.03892377,17.64779091,7.954175794,12.81891724,0.21827666,65.23957685,0.008432632,11.96551724,863.101968,48.7375,327.1017862,30.94792057,23.02380679,15.58916194,2.085,92.78623428,8,72.15455691,0.25,11.59221077,42.84606794,5.231496385,51.15121344,13.28,2.380358923,1.98,1.886066205,9.83,28.29012961,2.5,8.41559099,20.5,35.35175879,18.7,98.90681936,16.5,46.46387833
0.03716809,14.92221531,7.813763747,11.74859988,0.064284104,23.75855632,6537.427363,97.51724138,153.2454563,2.525,481.5470034,58.29898839,58.39882148,63.56647763,0.335,54.63931171,31,99.85300294,9,88.9347079,48.97481572,5.979815272,67.71624144,74.64,81.81704885,6.32,80.72876572,12.42,50.02492522,44.1,92.93849658,46.4,77.98994975,4.1,32.27485685,21.2,67.71863118
